gene_id	EV_4	DNMT3B_4	DNMT3B_2	EV_3	DNMT3B_3
YEL071W	2903	3128	3281	4415	3460
YEL072W	119	63	80	163	83
YEL073C	194	170	381	247	276
YEL074W	11	4	15	14	6
YEL075C	0	0	0	0	0
YEL075W-A	1	6	1	1	1
YEL076C	0	0	0	0	0
YEL076C-A	0	0	0	0	0
YEL077C	151	122	139	129	150
YEL077W-A	10	6	12	21	15
YER001W	203	331	576	345	575
YER002W	316	535	563	543	516
YER003C	194	259	895	253	516
YER004W	1242	1412	1330	1230	1464
YER005W	290	311	450	328	329
YER006C-A	6	10	15	14	17
YER006W	189	453	759	378	615
YER007C-A	133	224	291	194	265
YER007W	107	122	123	107	111
YER008C	367	402	399	395	405
YER009W	351	610	1025	534	826
YER010C	558	529	555	638	574
YER011W	8	18	22	10	12
YER012W	1150	1127	973	929	1180
YER013W	163	189	206	224	220
YER014C-A	211	238	243	217	258
YER014W	445	492	558	448	550
YER015W	629	554	556	860	617
YER016W	97	117	176	115	155
YER017C	1266	1107	1179	1383	1260
YER018C	225	173	412	306	297
YER019C-A	781	653	899	894	867
YER019W	334	252	569	390	375
YER020W	3800	3174	4006	4158	3913
YER021W	1402	1608	1133	1114	1573
YER022W	152	160	219	169	190
YER023C-A	223	294	373	269	351
YER023W	594	793	1134	799	1031
YER024W	5146	4476	5265	12781	6817
YER025W	556	955	1204	786	1032
YER026C	601	700	1455	1124	1354
YER027C	421	365	487	455	448
YER028C	43	53	67	81	68
YER029C	179	231	237	177	256
YER030W	593	558	540	594	585
YER031C	322	368	509	282	461
YER032W	63	92	161	60	135
YER033C	361	357	346	385	349
YER034W	124	125	159	160	116
YER035W	1542	891	1001	1709	1083
YER036C	764	862	1225	1196	1016
YER037W	732	740	502	602	504
YER038C	180	180	125	160	149
YER038W-A	112	91	103	208	87
YER039C	184	117	157	253	124
YER039C-A	56	35	44	85	48
YER040W	308	184	281	653	248
YER041W	180	204	237	263	186
YER042W	725	454	341	945	432
YER043C	807	1473	4361	1001	2900
YER044C	2190	1018	2068	2038	1417
YER044C-A	16	27	58	15	42
YER045C	1464	1478	1698	1590	1522
YER046W	332	291	529	416	431
YER046W-A	133	70	90	159	72
YER047C	544	377	470	729	462
YER048C	986	946	941	1139	982
YER048W-A	296	305	381	338	337
YER049W	168	218	314	175	216
YER050C	474	620	501	545	676
YER051W	245	279	259	385	255
YER052C	917	514	696	1661	527
YER053C	11142	6102	4380	6654	4670
YER053C-A	2206	933	890	1979	804
YER054C	1709	1567	1470	1612	1512
YER055C	1020	660	700	1229	626
YER056C	906	1110	1584	1994	1355
YER056C-A	424	722	900	874	712
YER057C	1046	1066	1147	1173	1168
YER058W	182	185	134	126	160
YER059W	444	362	381	404	404
YER060W	317	466	613	513	412
YER060W-A	121	138	196	179	165
YER061C	401	531	835	628	656
YER062C	165	337	392	329	287
YER063W	1774	1249	1450	1847	1386
YER064C	213	462	930	618	621
YER065C	5448	6084	5202	14746	8088
YER066C-A	5703	4402	2777	3576	2973
YER066W	525	437	377	487	412
YER067C-A	20657	15591	9226	12653	11467
YER067W	28161	21810	12857	17196	15569
YER068C-A	113	45	158	500	103
YER068W	253	256	515	546	403
YER069W	2050	828	1879	7632	1293
YER070W	80	162	550	69	368
YER071C	107	93	142	112	98
YER072W	1005	597	884	1271	830
YER073W	2817	571	1128	5124	770
YER074W	542	1294	1681	1273	1551
YER074W-A	302	330	348	280	345
YER075C	123	170	215	224	223
YER076C	139	109	145	155	124
YER076W-A	26	21	33	31	29
YER077C	196	264	243	215	261
YER078C	331	311	325	392	404
YER078W-A	6	6	2	4	2
YER079C-A	61	59	62	76	59
YER079W	1823	1339	1336	1807	1388
YER080W	806	751	735	760	794
YER081W	701	2716	5096	1638	2952
YER082C	345	286	370	327	294
YER083C	657	639	885	772	777
YER084W	684	347	514	777	444
YER084W-A	5	6	34	15	14
YER085C	24	18	41	37	22
YER086W	893	813	1508	2162	996
YER087C-A	115	163	108	78	130
YER087C-B	211	271	559	273	355
YER087W	234	289	235	178	257
YER088C	3191	2174	2429	2972	2258
YER088C-A	101	76	87	96	82
YER088W-B	232	192	192	214	189
YER089C	780	694	843	885	769
YER090C-A	42	32	61	131	44
YER090W	922	614	981	1873	676
YER091C	6992	2062	5052	18148	3431
YER091C-A	0	2	1	1	0
YER092W	108	89	120	214	112
YER093C	176	218	191	238	230
YER093C-A	171	178	183	181	244
YER094C	1454	1238	1135	1223	1207
YER095W	272	494	1221	467	878
YER096W	229	145	233	514	172
YER097W	7	6	6	9	9
YER098W	393	412	404	360	424
YER099C	791	702	736	807	775
YER100W	524	575	623	657	672
YER101C	641	499	437	624	532
YER102W	349	799	1378	885	1088
YER103W	5562	11390	3116	2850	4979
YER104W	244	204	241	322	249
YER105C	379	413	445	434	447
YER106W	10	13	50	29	35
YER107C	150	166	239	189	215
YER107W-A	22	22	44	30	22
YER110C	280	324	613	536	568
YER111C	109	131	175	128	168
YER112W	242	317	342	261	351
YER113C	155	176	192	162	202
YER114C	434	403	520	493	474
YER115C	340	282	256	297	292
YER116C	372	360	321	400	351
YER117W	772	1433	2114	1771	1821
YER118C	61	91	194	69	144
YER119C	787	504	467	680	480
YER119C-A	85	84	126	95	106
YER120W	1076	1197	1599	1094	1313
YER121W	560	456	502	742	506
YER122C	562	648	902	748	781
YER123W	218	205	216	271	249
YER124C	529	1021	937	535	878
YER125W	1835	1628	1578	1558	1700
YER126C	166	343	486	296	406
YER127W	27	60	77	47	68
YER128W	134	108	159	246	139
YER129W	556	446	496	631	469
YER130C	188	260	299	134	205
YER131W	352	988	1427	911	1204
YER132C	155	224	252	211	235
YER133W	2819	2727	2293	2304	2479
YER133W-A	297	272	292	271	268
YER134C	421	432	456	428	421
YER135C	7	10	6	12	12
YER136W	1463	1350	1697	1565	1603
YER137C	33	49	69	100	58
YER137C-A	0	0	0	0	0
YER137W-A	14	24	33	52	26
YER138C	0	0	0	0	0
YER138W-A	0	0	0	0	0
YER139C	119	134	168	186	136
YER140W	112	104	164	152	147
YER141W	2073	2176	2353	2361	2463
YER142C	499	517	448	644	503
YER143W	798	856	767	773	939
YER144C	425	438	818	538	567
YER145C	942	1440	1838	2406	1675
YER145C-A	124	116	210	221	164
YER146W	157	135	256	239	199
YER147C	261	273	287	412	308
YER147C-A	249	289	391	340	315
YER148W	539	549	733	699	601
YER148W-A	49	85	91	74	76
YER149C	107	137	165	161	141
YER150W	13016	20205	8871	10756	11740
YER151C	342	370	413	336	404
YER152C	783	733	857	720	779
YER152W-A	139	155	222	150	180
YER153C	64	69	89	86	75
YER154W	297	502	558	283	564
YER155C	474	584	637	537	605
YER156C	238	453	754	372	584
YER157W	161	135	182	260	143
YER158C	765	1023	1325	1052	1263
YER158W-A	356	343	434	460	424
YER159C	799	748	949	978	852
YER159C-A	0	0	0	0	0
YER160C	0	0	0	0	0
YER161C	385	420	530	540	496
YER162C	612	462	442	672	499
YER163C	319	415	406	291	348
YER164W	349	443	464	476	509
YER165C-A	5	13	10	12	17
YER165W	2599	3905	5418	4187	4720
YER166W	634	578	613	602	616
YER167W	482	463	518	514	486
YER168C	148	152	199	219	212
YER169W	1265	852	857	1363	908
YER170W	108	127	186	205	159
YER171W	159	177	182	164	182
YER172C	330	343	373	384	418
YER172C-A	16	12	23	24	15
YER173W	153	151	147	191	165
YER174C	563	299	315	940	320
YER175C	2972	1385	985	5569	1038
YER175W-A	6	14	13	15	14
YER176W	397	247	319	666	274
YER177W	4904	5441	6080	4572	5790
YER178W	8767	6087	4833	7279	5944
YER179W	98	265	413	128	326
YER180C	180	131	183	194	139
YER180C-A	44	39	65	66	54
YER181C	2	2	1	1	0
YER182W	1419	1327	992	1168	1292
YER183C	119	147	188	155	172
YER184C	166	166	303	304	200
YER185W	133	66	206	186	92
YER186C	296	300	388	358	362
YER187W	121	129	197	203	187
YER188C-A	6	12	11	15	10
YER188W	155	161	234	166	176
YER189W	0	0	0	0	0
YER190C-A	0	0	0	0	0
YER190C-B	10	6	2	17	4
YER190W	5	3	2	5	2
YFL001W	101	124	169	133	147
YFL002C	394	530	512	470	505
YFL002W-A	0	0	0	0	0
YFL002W-B	0	0	0	0	0
YFL003C	60	77	143	136	105
YFL004W	418	519	670	565	615
YFL005W	1427	1561	1803	1276	1633
YFL007W	749	642	561	850	700
YFL008W	52	101	178	110	140
YFL009W	270	284	460	450	376
YFL010C	634	638	880	872	710
YFL010W-A	321	303	385	400	394
YFL011W	155	123	153	243	164
YFL012W	17	17	48	27	27
YFL012W-A	7	8	19	19	23
YFL013C	535	602	809	748	695
YFL013W-A	340	302	435	410	409
YFL014W	63306	30016	7985	36877	16286
YFL015C	8	6	5	5	7
YFL015W-A	3	3	7	5	4
YFL016C	1161	1485	879	1024	1292
YFL017C	249	266	282	256	267
YFL017W-A	56	70	98	92	87
YFL018C	4788	3746	3025	4515	3714
YFL019C	49	43	43	64	42
YFL020C	52	59	49	42	49
YFL021C-A	361	195	321	512	258
YFL021W	1280	657	1051	1696	836
YFL022C	354	542	715	448	573
YFL023W	71	114	138	98	143
YFL024C	332	272	341	409	322
YFL025C	142	150	221	245	177
YFL026W	866	825	2250	1144	1604
YFL027C	116	124	156	134	168
YFL028C	662	425	521	1305	458
YFL029C	385	339	292	398	335
YFL030W	4576	4224	1338	2232	2653
YFL031C-A	137	236	219	138	220
YFL031W	1498	2454	2966	1373	2355
YFL032W	25	25	77	20	36
YFL033C	470	477	509	525	556
YFL034C-A	62	102	88	73	76
YFL034C-B	63	84	120	67	119
YFL034W	185	182	234	260	259
YFL036W	504	678	650	531	771
YFL037W	431	742	1671	434	1052
YFL038C	2583	2605	2973	2388	3079
YFL039C	9862	11876	11917	7752	11381
YFL040W	98	97	171	115	152
YFL041W	709	715	556	790	652
YFL041W-A	108	64	67	91	63
YFL042C	1210	894	858	1178	891
YFL044C	400	449	340	363	401
YFL045C	599	733	1502	508	961
YFL046W	243	210	289	332	249
YFL047W	118	134	197	158	158
YFL048C	374	407	415	433	439
YFL049W	334	362	448	371	382
YFL050C	250	220	363	307	293
YFL051C	249	194	238	290	237
YFL052W	592	550	657	698	572
YFL053W	254	344	143	239	197
YFL054C	1153	905	749	988	751
YFL055W	277	188	212	269	199
YFL056C	306	919	648	350	946
YFL058W	65	25	67	91	36
YFL059W	169	584	292	151	416
YFL060C	11	28	62	43	54
YFL061W	9	15	13	13	9
YFL062W	58	66	86	63	63
YFL063W	1	3	4	1	4
YFL064C	1	1	3	1	0
YFL065C	0	0	0	0	0
YFL066C	0	0	0	0	0
YFL067W	0	0	0	0	0
YFL068W	0	0	0	0	0
YFR001W	179	234	260	266	217
YFR002W	219	318	361	261	374
YFR003C	854	614	485	645	530
YFR004W	1363	1347	1286	1232	1322
YFR005C	65	78	118	97	82
YFR006W	458	718	693	656	724
YFR007W	218	221	169	188	168
YFR008W	188	164	180	195	147
YFR009W	296	400	453	347	426
YFR009W-A	0	0	0	0	0
YFR010W	1118	1094	951	925	1103
YFR010W-A	193	326	161	162	274
YFR011C	534	885	468	341	746
YFR012W	19	29	56	39	35
YFR012W-A	1	4	4	5	4
YFR013W	197	217	237	233	254
YFR014C	2389	1826	2072	2307	2204
YFR015C	7238	3675	4301	5708	4233
YFR016C	764	617	555	642	628
YFR017C	4781	3665	3176	4810	3347
YFR018C	486	452	689	500	522
YFR019W	266	273	292	293	277
YFR020W	113	114	137	135	115
YFR021W	343	250	302	373	274
YFR022W	535	504	475	584	418
YFR023W	124	139	196	206	155
YFR024C-A	969	918	845	879	874
YFR025C	438	254	370	686	310
YFR026C	245	186	460	172	151
YFR027W	37	48	92	48	79
YFR028C	92	101	247	173	182
YFR029W	270	231	334	458	315
YFR030W	969	286	406	2075	364
YFR031C	166	219	246	182	209
YFR031C-A	655	1275	2007	1549	1715
YFR032C	2	9	37	23	18
YFR032C-A	402	818	1041	847	880
YFR032C-B	14	19	13	24	13
YFR033C	2834	2333	1936	2198	2171
YFR034C	351	270	379	594	317
YFR034W-A	76	46	70	134	75
YFR035C	87	46	90	138	86
YFR036W	74	61	95	122	77
YFR036W-A	369	417	580	392	525
YFR037C	575	721	1066	726	856
YFR038W	139	163	196	216	164
YFR039C	201	182	364	267	296
YFR040W	1256	1146	959	1122	1097
YFR041C	114	166	248	118	185
YFR042W	69	89	116	107	116
YFR043C	215	203	195	256	208
YFR044C	972	675	497	695	561
YFR045W	327	295	241	255	270
YFR046C	134	124	216	244	141
YFR047C	2227	1572	2239	2640	1787
YFR048W	213	259	280	293	222
YFR049W	1906	1166	914	1620	1109
YFR050C	1199	1397	1017	1146	1294
YFR051C	517	570	849	601	716
YFR052C-A	14	17	14	9	23
YFR052W	1163	1155	1025	946	1159
YFR053C	39410	55340	34580	29661	42160
YFR054C	9	7	10	11	6
YFR055W	114	128	269	132	123
YFR056C	11	11	23	21	9
YFR057W	0	0	1	0	0
YGL001C	347	326	1104	517	540
YGL002W	455	406	420	501	455
YGL003C	534	434	546	687	572
YGL004C	426	368	366	458	385
YGL005C	482	646	570	507	625
YGL006W	1391	1442	1840	1280	1585
YGL006W-A	5	4	9	6	12
YGL007C-A	2	1	2	2	2
YGL007W	12	31	25	26	30
YGL008C	10554	31602	28377	19748	25585
YGL009C	80019	2555	5106	90538	4076
YGL010W	482	539	495	406	460
YGL011C	1794	2046	1687	1410	1866
YGL012W	436	436	680	455	483
YGL013C	201	191	209	265	219
YGL014C-A	35	18	25	53	30
YGL014W	771	588	709	949	676
YGL015C	37	9	15	52	13
YGL016W	77	130	134	131	104
YGL017W	275	254	282	266	263
YGL018C	182	258	223	193	256
YGL019W	470	582	602	473	593
YGL020C	231	344	373	285	330
YGL021W	303	185	354	764	287
YGL022W	821	769	1045	779	882
YGL023C	927	877	1067	1505	1016
YGL024W	41	28	32	72	32
YGL025C	398	260	331	642	326
YGL026C	2272	1317	1923	4192	1523
YGL027C	183	225	398	329	342
YGL028C	422	940	879	402	866
YGL029W	42	62	70	64	59
YGL030W	1473	3002	4975	4007	4020
YGL031C	524	1369	2121	1660	1773
YGL032C	270	244	628	381	402
YGL033W	4	17	51	11	27
YGL034C	0	0	4	3	1
YGL035C	1430	967	1099	1667	1157
YGL036W	942	813	953	822	864
YGL037C	8846	6817	5856	7502	6268
YGL038C	477	416	685	652	664
YGL039W	81	120	189	129	129
YGL040C	568	660	740	566	743
YGL041C	188	167	171	180	188
YGL041C-B	9	11	18	11	18
YGL041W-A	379	331	305	352	404
YGL042C	73	92	86	93	109
YGL043W	156	199	229	214	215
YGL044C	395	289	289	403	288
YGL045W	1253	1045	1297	1559	1185
YGL047W	208	212	184	145	201
YGL048C	1558	1703	1304	1215	1636
YGL049C	649	696	717	578	750
YGL050W	148	142	198	260	147
YGL051W	46	41	56	68	43
YGL052W	74	54	60	60	58
YGL053W	279	256	284	207	242
YGL054C	1193	1044	935	1181	981
YGL055W	3310	13014	42446	18096	28375
YGL056C	1031	1073	1121	1540	1242
YGL057C	68	76	107	78	119
YGL058W	184	211	240	181	201
YGL059W	1676	1105	1050	2240	1013
YGL060W	157	111	180	204	115
YGL061C	39	39	84	65	78
YGL062W	5527	5200	6264	8758	7991
YGL063C-A	12	20	30	21	12
YGL063W	81	96	164	140	137
YGL064C	42	69	64	51	68
YGL065C	191	191	241	269	233
YGL066W	400	246	334	577	303
YGL067W	110	189	197	139	157
YGL068W	316	748	512	266	806
YGL069C	167	463	285	164	477
YGL070C	99	165	202	127	164
YGL071W	397	240	349	550	284
YGL072C	421	254	196	484	235
YGL073W	1472	888	864	1796	994
YGL074C	27	22	39	37	30
YGL075C	199	103	133	389	127
YGL076C	356	768	1445	850	1168
YGL077C	312	393	1103	484	704
YGL078C	231	671	941	493	869
YGL079W	108	126	151	150	139
YGL080W	659	559	778	996	767
YGL081W	116	145	168	117	127
YGL082W	865	806	931	962	980
YGL083W	302	250	283	309	255
YGL084C	396	370	412	372	408
YGL085W	150	188	198	175	215
YGL086W	87	148	182	101	160
YGL087C	791	633	641	746	715
YGL088W	0	0	0	0	0
YGL089C	29	23	22	24	18
YGL090W	162	181	211	194	174
YGL091C	278	245	321	327	318
YGL092W	171	232	376	247	329
YGL093W	192	222	267	221	276
YGL094C	154	212	255	136	253
YGL095C	366	356	414	397	379
YGL096W	1115	787	811	1379	762
YGL097W	287	317	513	459	430
YGL098W	286	299	402	319	315
YGL099W	120	224	259	182	246
YGL100W	319	369	357	376	385
YGL101W	87	73	209	144	98
YGL102C	1355	2485	4006	3491	3219
YGL103W	1510	2641	4089	3651	3351
YGL104C	678	620	619	644	588
YGL105W	725	1148	1287	900	1373
YGL106W	468	599	742	498	697
YGL107C	237	292	307	239	342
YGL108C	186	201	243	220	210
YGL109W	118	118	142	138	132
YGL110C	244	212	217	223	212
YGL111W	255	406	344	278	382
YGL112C	309	319	324	330	301
YGL113W	183	202	146	164	142
YGL114W	632	734	570	819	703
YGL115W	538	601	538	510	633
YGL116W	213	194	280	363	251
YGL117W	2928	1300	1891	5786	1706
YGL118C	10	4	10	11	5
YGL119W	258	287	174	236	281
YGL120C	124	159	241	175	177
YGL121C	2528	2563	2527	2550	2261
YGL122C	1178	1540	1539	1738	1584
YGL123C-A	375	785	1502	996	1088
YGL123W	1386	2788	5007	3408	3661
YGL124C	249	203	228	228	203
YGL125W	2670	896	1262	3654	1086
YGL126W	145	108	323	157	199
YGL127C	110	123	217	127	147
YGL128C	137	133	131	136	136
YGL129C	254	425	340	254	506
YGL130W	259	287	283	331	265
YGL131C	184	255	267	210	272
YGL132W	29	40	38	29	28
YGL133W	344	373	324	358	343
YGL134W	267	408	364	425	394
YGL135W	344	699	1127	877	926
YGL136C	365	282	284	335	317
YGL137W	682	950	1107	685	1042
YGL138C	2	7	34	24	8
YGL139W	349	375	538	559	511
YGL140C	372	364	399	428	402
YGL141W	449	448	333	448	392
YGL142C	370	290	345	444	309
YGL143C	164	222	186	173	224
YGL144C	75	85	115	131	111
YGL145W	136	142	188	165	186
YGL146C	202	138	219	319	210
YGL147C	434	713	1307	1066	1073
YGL148W	1154	787	1565	2422	959
YGL149W	3	3	6	7	6
YGL150C	533	688	671	702	658
YGL151W	270	263	271	268	250
YGL152C	308	229	260	412	232
YGL153W	388	339	383	635	398
YGL154C	392	237	270	594	236
YGL155W	122	132	194	222	149
YGL156W	3254	2749	2417	2950	2678
YGL157W	27	41	71	20	45
YGL158W	40	32	167	488	82
YGL159W	159	159	179	229	152
YGL160W	750	493	605	784	506
YGL161C	990	889	983	813	866
YGL162W	768	449	1432	3047	1129
YGL163C	357	290	354	532	346
YGL164C	237	290	311	258	320
YGL165C	168	230	351	213	336
YGL166W	185	300	492	298	397
YGL167C	661	912	1190	776	1127
YGL168W	187	219	240	201	250
YGL169W	57	185	213	159	210
YGL170C	76	43	108	118	78
YGL171W	46	113	129	90	149
YGL172W	328	317	445	382	392
YGL173C	1464	1565	1366	1265	1433
YGL174W	71	83	148	112	97
YGL175C	25	22	34	18	17
YGL176C	138	171	156	152	157
YGL177W	4	11	11	7	8
YGL178W	214	261	397	351	327
YGL179C	132	181	239	161	137
YGL180W	1052	472	555	2370	598
YGL181W	659	641	706	819	683
YGL182C	7	3	8	19	7
YGL183C	36	15	34	58	21
YGL184C	308	177	302	992	225
YGL185C	222	281	298	338	310
YGL186C	859	752	916	1264	827
YGL187C	4552	3729	2655	2940	3285
YGL188C	35	34	19	24	31
YGL188C-A	3	11	11	20	9
YGL189C	1403	3090	4068	3152	3579
YGL190C	1076	829	843	887	850
YGL191W	7270	4619	3949	6252	4365
YGL192W	784	732	933	998	856
YGL193C	0	0	0	0	0
YGL194C	157	94	117	159	109
YGL194C-A	74	59	67	96	54
YGL195W	404	665	698	530	795
YGL196W	493	530	545	510	484
YGL197W	886	631	750	998	765
YGL198W	679	616	704	642	685
YGL199C	399	397	433	344	386
YGL200C	593	631	1207	672	957
YGL201C	101	172	212	169	163
YGL202W	1820	1248	2962	4795	1814
YGL203C	398	389	424	377	368
YGL204C	32	27	39	48	26
YGL205W	396	209	355	891	313
YGL206C	1781	1607	1359	1302	1532
YGL207W	542	557	726	627	695
YGL208W	1056	790	902	1056	871
YGL209W	486	339	365	592	415
YGL210W	177	175	256	245	211
YGL211W	233	279	317	299	297
YGL212W	110	118	126	112	132
YGL213C	219	243	292	248	296
YGL214W	96	143	143	144	144
YGL215W	1097	1019	1059	1234	1038
YGL216W	151	154	227	205	222
YGL217C	8	15	11	15	12
YGL218W	348	374	380	520	385
YGL219C	1547	1191	1205	1905	1427
YGL220W	359	397	402	409	402
YGL221C	335	362	459	407	395
YGL222C	322	212	257	261	219
YGL223C	295	169	205	635	179
YGL224C	222	196	292	539	243
YGL225W	199	185	437	190	239
YGL226C-A	205	273	405	204	319
YGL226W	174	191	204	178	210
YGL227W	857	597	681	861	747
YGL228W	1155	923	1069	1249	1030
YGL229C	140	76	94	185	74
YGL230C	14	30	42	43	23
YGL231C	362	486	563	443	605
YGL232W	223	262	245	221	273
YGL233W	379	328	312	313	343
YGL234W	893	1316	2816	1927	1714
YGL235W	7	28	32	19	29
YGL236C	103	195	197	192	244
YGL237C	842	534	528	802	613
YGL238W	361	403	408	355	433
YGL239C	15	24	37	17	27
YGL240W	14	35	52	22	46
YGL241W	106	149	210	118	160
YGL242C	129	161	165	129	143
YGL243W	109	96	173	132	138
YGL244W	574	567	669	706	613
YGL245W	827	1351	1733	1146	1596
YGL246C	129	139	164	131	147
YGL247W	117	106	123	180	111
YGL248W	2605	2164	2133	2798	2020
YGL249W	217	216	212	250	185
YGL250W	519	362	352	477	375
YGL251C	174	191	192	212	175
YGL252C	778	711	871	904	841
YGL253W	911	2469	2705	1070	2787
YGL254W	134	107	141	193	119
YGL255W	28825	17226	25844	31417	20333
YGL256W	4240	11152	44225	4251	21747
YGL257C	641	761	1403	751	1068
YGL258W	38	14	44	40	25
YGL258W-A	26	28	46	67	23
YGL259W	16	5	10	13	7
YGL260W	0	0	0	0	0
YGL261C	0	0	1	0	0
YGL262W	0	0	0	0	0
YGL263W	0	0	0	0	0
YGR001C	189	184	268	302	212
YGR002C	279	310	312	230	333
YGR003W	106	132	143	183	145
YGR004W	66	83	183	91	119
YGR005C	644	628	681	644	695
YGR006W	52	60	85	69	86
YGR007W	293	303	399	357	343
YGR008C	15272	13468	8157	9271	10046
YGR009C	871	630	716	888	719
YGR010W	194	220	270	278	224
YGR011W	8	13	16	13	13
YGR012W	196	164	277	333	238
YGR013W	468	503	529	480	488
YGR014W	151	228	628	303	468
YGR015C	129	137	221	211	136
YGR016W	35	38	53	35	51
YGR017W	639	553	648	881	568
YGR018C	325	267	310	511	307
YGR019W	3998	3456	2559	3190	2895
YGR020C	1061	710	909	1020	769
YGR021W	563	559	415	539	614
YGR022C	203	188	169	241	191
YGR023W	1895	1570	1198	2026	1384
YGR024C	175	206	306	271	275
YGR025W	50	57	44	53	62
YGR026W	733	703	746	587	716
YGR027C	1293	2694	3589	3180	3264
YGR027W-A	0	0	0	0	0
YGR027W-B	0	0	0	0	0
YGR028W	467	489	600	501	602
YGR029W	504	295	346	779	295
YGR030C	100	113	155	199	108
YGR031C-A	233	167	261	266	235
YGR031W	454	390	552	755	534
YGR032W	3964	5620	8433	5896	7705
YGR033C	529	387	450	548	408
YGR034W	737	1432	2222	1685	1785
YGR035C	16	14	48	27	20
YGR035W-A	20	40	66	59	70
YGR036C	58	96	217	132	184
YGR037C	700	993	2395	1186	1815
YGR038C-A	0	0	0	0	0
YGR038C-B	0	0	0	0	0
YGR038W	154	130	145	172	162
YGR039W	5	12	32	24	8
YGR040W	66	77	209	107	120
YGR041W	248	178	238	270	171
YGR042W	398	325	391	427	387
YGR043C	9010	6643	2898	6178	4395
YGR044C	2228	1610	1524	2170	1622
YGR045C	120	80	81	106	72
YGR046W	784	734	926	887	952
YGR047C	159	173	228	206	215
YGR048W	515	542	528	462	561
YGR049W	181	166	652	357	299
YGR050C	56	49	76	108	88
YGR051C	74	51	66	79	51
YGR052W	1645	977	1125	2497	1125
YGR053C	268	191	158	301	196
YGR054W	206	330	516	211	433
YGR055W	208	406	754	392	666
YGR056W	236	213	230	235	255
YGR057C	184	190	268	220	198
YGR058W	163	184	210	185	200
YGR059W	67	59	159	122	74
YGR060W	533	552	2046	1010	1054
YGR061C	1375	1645	2635	2571	2149
YGR062C	161	188	186	141	184
YGR063C	177	215	257	143	200
YGR064W	113	115	156	82	126
YGR065C	4926	4410	5189	9440	6691
YGR066C	481	194	278	653	246
YGR067C	3916	956	1335	5698	1260
YGR068C	371	179	164	403	162
YGR068W-A	31	11	19	43	12
YGR069W	18	6	8	19	8
YGR070W	1020	874	791	1024	994
YGR071C	190	222	210	173	193
YGR072W	261	315	315	302	277
YGR073C	66	49	85	61	75
YGR074W	127	147	203	150	188
YGR075C	73	125	152	116	115
YGR076C	374	457	337	321	452
YGR077C	473	388	374	431	460
YGR078C	62	111	120	75	128
YGR079W	191	287	380	372	379
YGR080W	641	563	634	669	630
YGR081C	81	113	139	149	124
YGR082W	271	472	417	288	520
YGR083C	203	288	327	206	288
YGR084C	161	343	253	120	346
YGR085C	337	504	515	676	546
YGR086C	12807	8387	9013	12227	9681
YGR087C	991	1791	1783	1265	1821
YGR088W	17241	3819	3828	11174	3570
YGR089W	207	281	386	204	327
YGR090W	119	190	223	118	197
YGR091W	132	137	175	146	145
YGR092W	302	485	724	392	595
YGR093W	338	381	298	339	276
YGR094W	1252	1374	2262	2913	1885
YGR095C	510	437	588	812	633
YGR096W	561	228	414	909	303
YGR097W	900	922	1129	1173	927
YGR098C	204	146	180	204	160
YGR099W	115	133	206	141	177
YGR100W	837	659	680	904	677
YGR101W	345	416	413	406	487
YGR102C	1193	813	701	1178	846
YGR103W	233	400	554	342	476
YGR104C	152	135	152	226	129
YGR105W	148	195	271	226	202
YGR106C	827	902	1011	947	935
YGR107W	3	3	4	3	6
YGR108W	78	120	377	115	310
YGR109C	29	20	48	28	39
YGR109W-A	0	0	0	0	0
YGR109W-B	0	0	0	0	0
YGR110W	462	207	331	582	272
YGR111W	831	757	605	661	644
YGR112W	370	401	311	358	365
YGR113W	118	123	196	190	197
YGR114C	0	0	0	0	0
YGR115C	55	61	85	73	83
YGR116W	660	760	738	721	848
YGR117C	123	138	134	156	129
YGR118W	1033	1611	1743	1278	1596
YGR119C	312	331	434	399	396
YGR120C	111	128	151	159	148
YGR121C	522	470	1222	1474	1004
YGR121W-A	2	1	1	3	3
YGR122C-A	0	0	0	0	0
YGR122W	121	89	142	210	134
YGR123C	44	102	165	97	109
YGR124W	1006	936	1569	2225	1325
YGR125W	407	380	595	565	496
YGR126W	104	126	130	130	114
YGR127W	650	562	421	503	458
YGR128C	41	114	154	75	122
YGR129W	106	156	139	202	144
YGR130C	3933	2656	2496	3364	2897
YGR131W	46	33	106	109	55
YGR132C	1685	2249	1798	1586	2268
YGR133W	287	212	220	342	240
YGR134W	107	116	188	132	173
YGR135W	1144	1325	1062	972	1203
YGR136W	449	491	690	445	551
YGR137W	104	95	143	79	83
YGR138C	439	892	1206	328	690
YGR139W	21	34	29	21	27
YGR140W	102	195	324	179	241
YGR141W	960	688	700	922	677
YGR142W	374	1008	879	311	876
YGR143W	2200	1600	1470	2248	1680
YGR144W	9425	13290	2357	9331	5443
YGR145W	80	144	218	168	176
YGR146C	1183	1142	1197	1709	1235
YGR146C-A	1	5	7	7	5
YGR147C	454	556	465	449	510
YGR148C	649	1263	1690	1382	1379
YGR149W	681	501	986	824	648
YGR150C	118	203	234	154	242
YGR151C	0	0	0	0	0
YGR152C	39	29	103	36	65
YGR153W	196	129	164	171	148
YGR154C	573	267	273	901	258
YGR155W	1397	1306	1765	2993	1568
YGR156W	67	102	124	74	85
YGR157W	322	399	753	414	604
YGR158C	64	127	218	119	157
