gene_id	EV_4	DNMT3B_4	DNMT3B_2	EV_3	DNMT3B_3
YAR019C	450	408	399	531	444
YAR019W-A	20	13	18	27	18
YAR020C	110	66	76	135	84
YAR023C	175	155	160	158	147
YAR027W	879	836	980	851	898
YAR028W	236	356	398	407	353
YAR029W	38	33	42	39	27
YAR030C	45	39	38	43	27
YAR031W	77	65	79	85	76
YAR033W	39	52	57	61	52
YAR035C-A	12	2	6	20	3
YAR035W	4000	3283	3691	7560	4890
YAR042W	648	511	615	685	594
YAR047C	0	0	0	0	0
YAR050W	31	42	33	31	35
YAR053W	2	1	4	3	4
YAR060C	1	1	1	6	2
YAR061W	0	0	0	0	0
YAR064W	3	7	9	5	6
YAR066W	0	0	0	0	0
YAR068W	0	0	1	1	0
YAR069C	0	0	0	0	1
YAR070C	1	3	8	4	3
YAR071W	10	4	14	14	9
YAR073W	1	8	29	6	21
YAR075W	1	3	6	0	4
YBL001C	2601	1809	1497	2347	1633
YBL002W	553	506	1141	342	786
YBL003C	1015	1107	2038	673	1583
YBL004W	169	307	395	329	417
YBL005W	355	406	515	607	485
YBL005W-A	0	0	0	0	0
YBL005W-B	0	0	0	0	0
YBL006C	482	346	535	548	439
YBL006W-A	172	114	200	197	153
YBL007C	1107	1058	1413	1256	1345
YBL008W	84	115	118	105	114
YBL008W-A	2	3	1	2	3
YBL009W	45	64	136	80	109
YBL010C	24	53	109	48	72
YBL011W	575	557	841	707	742
YBL012C	39	39	76	44	63
YBL013W	19	29	36	32	31
YBL014C	87	116	144	95	98
YBL015W	14724	16602	9810	13627	15935
YBL016W	822	1026	1885	1245	1563
YBL017C	1269	1748	2148	1413	2111
YBL018C	73	65	101	168	84
YBL019W	333	334	280	334	295
YBL020W	172	194	301	218	228
YBL021C	111	131	130	124	144
YBL022C	743	994	559	656	973
YBL023C	135	179	283	175	231
YBL024W	118	264	358	226	281
YBL025W	89	85	108	126	105
YBL026W	260	299	367	309	325
YBL027W	1309	2423	3630	2880	3051
YBL028C	44	52	112	137	99
YBL029C-A	1763	658	494	1388	692
YBL029W	1230	492	544	1182	529
YBL030C	2994	3418	2479	2123	3633
YBL031W	29	36	48	23	54
YBL032W	274	334	475	303	428
YBL033C	1093	836	1405	1773	1065
YBL034C	182	297	314	203	325
YBL035C	90	145	204	118	160
YBL036C	379	272	283	502	316
YBL037W	207	308	370	228	340
YBL038W	424	556	485	412	580
YBL039C	47	99	227	110	151
YBL039C-A	0	0	0	0	0
YBL039W-B	243	154	125	191	158
YBL040C	357	306	549	399	444
YBL041W	1560	1488	1263	1363	1383
YBL042C	208	134	233	460	222
YBL043W	530	457	1109	1477	789
YBL044W	2	1	2	2	1
YBL045C	7150	5335	4353	4743	5166
YBL046W	169	207	315	279	274
YBL047C	2277	2012	2332	2218	2226
YBL048W	913	483	338	687	392
YBL049W	4002	2049	1784	3150	1852
YBL050W	1557	1309	1378	1478	1328
YBL051C	692	587	659	586	642
