gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YGL009C	37238.92263893	-4.5296244528453	0.274096596935077	-16.5256500937814	2.39839871549643e-61	1.51914574639544e-57
YKL120W	2230.65539285255	-4.03077368703252	0.251900050083599	-16.001480292262	1.24772741750143e-57	3.95155273122703e-54
YOR226C	594.387438808392	-3.01823049651242	0.194889232226724	-15.4869022881734	4.2529420520375e-54	8.97937831920184e-51
YHR208W	13975.7920939666	-3.30971089738763	0.226901369071678	-14.5865620420391	3.4200334664994e-48	5.41562299420181e-45
YCL018W	7781.01952854481	-3.17858780949947	0.232736567951276	-13.657449009753	1.82257361741654e-42	2.30883625854327e-39
YLR355C	29121.5578746385	-2.15746229808123	0.166801086470152	-12.9343419982297	2.88078890652942e-38	3.04115282232623e-35
YOR225W	256.264543059059	-3.17394210862232	0.248710570424029	-12.7615891162609	2.68663666893436e-37	2.43102238014718e-34
YNL104C	18245.1081410534	-2.12515377577892	0.169814846837155	-12.5145345967119	6.21712065900368e-36	4.92240528176616e-33
YBR068C	13545.3609001496	-2.02315311401878	0.166211531617514	-12.172158539965	4.37361397184035e-34	3.07805232195964e-31
YNR064C	322.322205234609	3.17562768030244	0.297646758689814	10.6691156130205	1.41971187355604e-26	8.99245500710396e-24
YGR067C	2643.49731850714	-2.07654229014029	0.207236958119383	-10.0201349652317	1.24333043832071e-23	7.15932272393035e-21
YMR108W	10996.5467821241	-2.27639336206688	0.227892940258917	-9.98887178988779	1.70511326374e-23	9.00015617710764e-21
YDR014W-A	131.66838894201	3.1764926783575	0.318495975575875	9.97341543363007	1.99256463923347e-23	9.70838801915753e-21
YKL216W	1099.14140093818	2.18570172972666	0.227449385392741	9.60961809570321	7.2818566523498e-22	3.29452000257026e-19
YEL021W	9509.4102140541	-2.30559128888628	0.257753900078414	-8.94493269814682	3.72176473563017e-19	1.5715771890321e-16
YOL048C	1117.96842817467	-1.52395385619908	0.170700848306564	-8.92762907341966	4.35236172047955e-19	1.72299119609484e-16
YNL103W-A	376.102439288356	-2.0700586491059	0.23790301542295	-8.70127116894966	3.28187005033311e-18	1.22278617051823e-15
YKR071C	1476.01449694735	-1.69325193457252	0.195230172047977	-8.67310578488049	4.20490982147328e-18	1.47966104495621e-15
YGL125W	1919.49591354232	-1.60650156124482	0.193421985732134	-8.30568228923898	9.92474729874253e-17	3.30859733632817e-14
YBR256C	3024.37754790638	-1.86913725257785	0.226072525387189	-8.26786558595135	1.36378524289142e-16	4.31910786423713e-14
YGL253W	1970.45393411656	1.36336313071401	0.168047440403075	8.11296576397642	4.9398992764872e-16	1.48996771510809e-13
